liurui@ubuntu:~$ KERAS_BACKEND=theano python DeepRec/v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000001,0.001,0.001,0.001] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000001,0.001,0.001,0.001]', verbose=1) 
Traceback (most recent call last):
  File "DeepRec/v3_random_train/MLP.py", line 136, in <module>
    train = np.loadtxt(path + 'train_pair_all.txt')
  File "/home/liurui/.local/lib/python2.7/site-packages/numpy/lib/npyio.py", line 896, in loadtxt
    fh = iter(open(fname, 'U'))
Iteration 85 [516.2 s]: NDCG = 0.804379, loss = 0.658471 [325.17 s]
Iteration 86 [517.5 s]: NDCG = 0.804403, loss = 0.658432 [325.32 s]
Iteration 87 [512.6 s]: NDCG = 0.804349, loss = 0.658414 [328.77 s]
Iteration 88 [516.4 s]: NDCG = 0.804472, loss = 0.658303 [325.60 s]
Iteration 89 [517.9 s]: NDCG = 0.804218, loss = 0.658401 [325.12 s]
Iteration 90 [517.3 s]: NDCG = 0.804192, loss = 0.657972 [329.28 s]
Iteration 91 [522.0 s]: NDCG = 0.804209, loss = 0.658486 [325.33 s]
Iteration 92 [519.0 s]: NDCG = 0.804297, loss = 0.658581 [325.30 s]
Iteration 93 [512.8 s]: NDCG = 0.804168, loss = 0.657790 [325.44 s]
Iteration 94 [520.0 s]: NDCG = 0.804145, loss = 0.658467 [335.04 s]
Iteration 95 [533.6 s]: NDCG = 0.804238, loss = 0.657901 [337.51 s]
Iteration 96 [520.3 s]: NDCG = 0.804345, loss = 0.658182 [332.76 s]
Iteration 97 [524.4 s]: NDCG = 0.804313, loss = 0.657947 [327.24 s]
Iteration 98 [521.9 s]: NDCG = 0.804346, loss = 0.658035 [330.38 s]
Iteration 99 [520.9 s]: NDCG = 0.804315, loss = 0.657864 [327.79 s]
End. Best Iteration 62: NDCG = 0.8046. 
liurui@ubuntu:~/DeepRec$ KERAS_BACKEND=theano python v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000001,0.001,0.002,0.004] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000001,0.001,0.002,0.004]', verbose=1) 
Load data done [152.4 s]. #user=13679, #item=12922, #train=15651858, #test=316795
Init: NDCG = 0.689205 [62.1]
Iteration 0 [91.2 s]: NDCG = 0.728712, loss = 0.890927 [62.14 s]
Iteration 1 [86.6 s]: NDCG = 0.769092, loss = 0.814880 [62.24 s]
Iteration 2 [101.5 s]: NDCG = 0.780372, loss = 0.763369 [66.69 s]
Iteration 3 [116.5 s]: NDCG = 0.787728, loss = 0.730794 [146.58 s]
Iteration 4 [155.6 s]: NDCG = 0.793646, loss = 0.711772 [260.12 s]
Iteration 5 [136.7 s]: NDCG = 0.795286, loss = 0.700656 [331.84 s]
Iteration 6 [276.3 s]: NDCG = 0.796280, loss = 0.691078 [388.57 s]
Iteration 7 [411.8 s]: NDCG = 0.797389, loss = 0.682323 [436.22 s]
Iteration 8 [402.1 s]: NDCG = 0.798568, loss = 0.677613 [427.69 s]
Iteration 9 [408.2 s]: NDCG = 0.799702, loss = 0.675365 [372.47 s]
Iteration 10 [468.2 s]: NDCG = 0.800347, loss = 0.674073 [371.06 s]
Iteration 11 [511.6 s]: NDCG = 0.800988, loss = 0.672668 [372.13 s]
Iteration 12 [509.5 s]: NDCG = 0.801474, loss = 0.671766 [376.38 s]
Iteration 13 [519.4 s]: NDCG = 0.801710, loss = 0.670962 [372.22 s]
Iteration 14 [528.8 s]: NDCG = 0.802107, loss = 0.670369 [372.64 s]
Iteration 15 [520.1 s]: NDCG = 0.802271, loss = 0.669335 [376.47 s]
Iteration 16 [520.3 s]: NDCG = 0.802632, loss = 0.668826 [377.06 s]
Iteration 17 [530.8 s]: NDCG = 0.802939, loss = 0.668206 [371.20 s]
Iteration 18 [525.3 s]: NDCG = 0.803241, loss = 0.667935 [373.57 s]
Iteration 19 [522.5 s]: NDCG = 0.803321, loss = 0.667558 [373.72 s]
Iteration 20 [525.0 s]: NDCG = 0.803493, loss = 0.667284 [371.61 s]
Iteration 21 [527.1 s]: NDCG = 0.803591, loss = 0.666658 [372.41 s]
Iteration 22 [522.4 s]: NDCG = 0.803781, loss = 0.666579 [376.01 s]
Iteration 23 [522.7 s]: NDCG = 0.803789, loss = 0.666231 [372.50 s]
Iteration 24 [527.8 s]: NDCG = 0.803971, loss = 0.666025 [372.49 s]
Iteration 25 [523.2 s]: NDCG = 0.804105, loss = 0.665209 [376.61 s]
Iteration 26 [521.9 s]: NDCG = 0.804258, loss = 0.665871 [368.44 s]
Iteration 27 [525.6 s]: NDCG = 0.804289, loss = 0.665142 [369.25 s]
Iteration 28 [519.0 s]: NDCG = 0.804265, loss = 0.665188 [372.35 s]
Iteration 29 [517.3 s]: NDCG = 0.804203, loss = 0.664838 [368.02 s]
Iteration 30 [530.1 s]: NDCG = 0.803985, loss = 0.664456 [370.80 s]
Iteration 31 [519.5 s]: NDCG = 0.804289, loss = 0.664512 [370.13 s]
Iteration 32 [514.6 s]: NDCG = 0.804292, loss = 0.664257 [364.98 s]
Iteration 33 [517.8 s]: NDCG = 0.804319, loss = 0.664094 [363.88 s]
Iteration 34 [516.3 s]: NDCG = 0.804236, loss = 0.663966 [364.06 s]
Iteration 35 [517.9 s]: NDCG = 0.804111, loss = 0.663517 [370.91 s]
Iteration 36 [517.2 s]: NDCG = 0.804290, loss = 0.663399 [363.41 s]
Iteration 37 [514.5 s]: NDCG = 0.804172, loss = 0.663230 [364.49 s]
Iteration 38 [513.5 s]: NDCG = 0.804327, loss = 0.663268 [364.27 s]
Iteration 39 [521.2 s]: NDCG = 0.804155, loss = 0.663329 [363.10 s]
Iteration 40 [520.5 s]: NDCG = 0.804445, loss = 0.662973 [363.35 s]
Iteration 41 [518.0 s]: NDCG = 0.804209, loss = 0.662822 [365.84 s]
Iteration 42 [514.1 s]: NDCG = 0.804435, loss = 0.662732 [362.39 s]
Iteration 43 [518.8 s]: NDCG = 0.804572, loss = 0.662445 [362.72 s]
Iteration 44 [518.2 s]: NDCG = 0.804488, loss = 0.662573 [365.72 s]
Iteration 45 [515.0 s]: NDCG = 0.804531, loss = 0.662607 [362.77 s]
Iteration 46 [519.7 s]: NDCG = 0.804580, loss = 0.662315 [362.78 s]
Iteration 47 [513.7 s]: NDCG = 0.804554, loss = 0.662073 [366.33 s]
Iteration 48 [514.0 s]: NDCG = 0.804624, loss = 0.662119 [362.64 s]
Iteration 49 [521.6 s]: NDCG = 0.804695, loss = 0.662008 [362.57 s]
Iteration 50 [513.2 s]: NDCG = 0.804737, loss = 0.662356 [366.07 s]
Iteration 51 [515.3 s]: NDCG = 0.804770, loss = 0.662159 [363.06 s]
Iteration 52 [518.3 s]: NDCG = 0.804760, loss = 0.661889 [362.62 s]
Iteration 53 [516.5 s]: NDCG = 0.804475, loss = 0.661822 [366.68 s]
Iteration 54 [512.7 s]: NDCG = 0.804537, loss = 0.662011 [362.58 s]
Iteration 55 [518.1 s]: NDCG = 0.804500, loss = 0.661610 [361.87 s]
Iteration 56 [515.5 s]: NDCG = 0.804564, loss = 0.661994 [366.61 s]
Iteration 57 [516.8 s]: NDCG = 0.804558, loss = 0.661838 [362.40 s]
Iteration 58 [520.0 s]: NDCG = 0.804591, loss = 0.661950 [363.00 s]
Iteration 59 [514.4 s]: NDCG = 0.804598, loss = 0.661739 [366.21 s]
Iteration 60 [514.6 s]: NDCG = 0.804456, loss = 0.661323 [362.78 s]
Iteration 61 [522.4 s]: NDCG = 0.804564, loss = 0.661542 [370.08 s]
Iteration 62 [526.3 s]: NDCG = 0.804542, loss = 0.661078 [372.33 s]
Iteration 63 [512.6 s]: NDCG = 0.804597, loss = 0.661236 [362.89 s]
Iteration 64 [518.8 s]: NDCG = 0.804616, loss = 0.661612 [362.64 s]
Iteration 65 [513.9 s]: NDCG = 0.804485, loss = 0.661227 [366.39 s]
Iteration 66 [515.1 s]: NDCG = 0.804546, loss = 0.661166 [362.01 s]
Iteration 67 [513.6 s]: NDCG = 0.804474, loss = 0.661070 [363.00 s]
Iteration 68 [516.2 s]: NDCG = 0.804416, loss = 0.661028 [362.92 s]
Iteration 69 [513.3 s]: NDCG = 0.804362, loss = 0.661139 [363.13 s]
Iteration 70 [516.4 s]: NDCG = 0.804484, loss = 0.660892 [363.53 s]
Iteration 71 [517.2 s]: NDCG = 0.804422, loss = 0.660862 [362.53 s]
Iteration 72 [514.1 s]: NDCG = 0.804537, loss = 0.660983 [362.97 s]
Iteration 73 [513.8 s]: NDCG = 0.804734, loss = 0.660609 [362.10 s]
Iteration 74 [514.0 s]: NDCG = 0.804586, loss = 0.660772 [362.76 s]
Iteration 75 [515.0 s]: NDCG = 0.804627, loss = 0.660580 [363.14 s]
Iteration 76 [514.2 s]: NDCG = 0.804658, loss = 0.661026 [363.82 s]
Iteration 77 [517.2 s]: NDCG = 0.804683, loss = 0.660847 [363.24 s]
Iteration 78 [512.8 s]: NDCG = 0.804698, loss = 0.660888 [362.91 s]
Iteration 79 [513.1 s]: NDCG = 0.804589, loss = 0.660514 [362.78 s]
Iteration 80 [513.5 s]: NDCG = 0.804472, loss = 0.660727 [362.24 s]
Iteration 81 [513.0 s]: NDCG = 0.804535, loss = 0.660652 [361.94 s]
Iteration 82 [513.1 s]: NDCG = 0.804573, loss = 0.660696 [361.90 s]
Iteration 83 [514.8 s]: NDCG = 0.804685, loss = 0.660544 [361.96 s]
Iteration 84 [514.6 s]: NDCG = 0.804802, loss = 0.660588 [362.16 s]
Iteration 85 [512.9 s]: NDCG = 0.804903, loss = 0.660419 [362.20 s]
Iteration 86 [512.9 s]: NDCG = 0.804747, loss = 0.660645 [362.67 s]
Iteration 87 [514.4 s]: NDCG = 0.804779, loss = 0.660535 [362.31 s]
Iteration 88 [513.7 s]: NDCG = 0.804758, loss = 0.660592 [362.28 s]
Iteration 89 [512.6 s]: NDCG = 0.804727, loss = 0.660401 [362.17 s]
Iteration 90 [512.4 s]: NDCG = 0.804768, loss = 0.660269 [362.29 s]
Iteration 91 [512.9 s]: NDCG = 0.804724, loss = 0.660400 [362.16 s]
Iteration 92 [518.2 s]: NDCG = 0.804750, loss = 0.660307 [362.42 s]
Iteration 93 [513.5 s]: NDCG = 0.804708, loss = 0.660086 [362.18 s]
Iteration 94 [517.7 s]: NDCG = 0.804745, loss = 0.660393 [362.36 s]
Iteration 95 [514.9 s]: NDCG = 0.804666, loss = 0.660372 [362.31 s]
Iteration 96 [512.9 s]: NDCG = 0.804608, loss = 0.660386 [362.19 s]
Iteration 97 [513.4 s]: NDCG = 0.804556, loss = 0.660115 [362.15 s]
Iteration 98 [513.3 s]: NDCG = 0.804712, loss = 0.660480 [362.52 s]
Iteration 99 [513.1 s]: NDCG = 0.804535, loss = 0.660194 [362.07 s]
End. Best Iteration 85: NDCG = 0.8049. 


liurui@ubuntu:~/DeepRec$ KERAS_BACKEND=theano python v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000005,0.0002,0.001,0.005] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000005,0.0002,0.001,0.005]', verbose=1) 
Load data done [146.7 s]. #user=13679, #item=12922, #train=15651858, #test=316795
Init: NDCG = 0.689153 [62.2]
Iteration 0 [100.1 s]: NDCG = 0.765244, loss = 0.838421 [61.35 s]
Iteration 1 [194.0 s]: NDCG = 0.784889, loss = 0.791637 [88.28 s]
Iteration 2 [344.5 s]: NDCG = 0.792662, loss = 0.755994 [141.64 s]
Iteration 3 [365.5 s]: NDCG = 0.795929, loss = 0.728508 [224.20 s]
Iteration 4 [370.5 s]: NDCG = 0.797237, loss = 0.706689 [295.29 s]
Iteration 5 [376.1 s]: NDCG = 0.798950, loss = 0.690748 [334.36 s]
Iteration 6 [381.9 s]: NDCG = 0.800328, loss = 0.680878 [391.36 s]
Iteration 7 [383.9 s]: NDCG = 0.801071, loss = 0.675329 [366.72 s]
Iteration 8 [392.0 s]: NDCG = 0.801716, loss = 0.672095 [322.14 s]
Iteration 9 [414.6 s]: NDCG = 0.801997, loss = 0.670034 [319.09 s]
Iteration 10 [453.6 s]: NDCG = 0.802305, loss = 0.668727 [318.90 s]
Iteration 11 [509.3 s]: NDCG = 0.802556, loss = 0.668135 [319.02 s]
Iteration 12 [518.0 s]: NDCG = 0.802989, loss = 0.667090 [318.96 s]
Iteration 13 [517.6 s]: NDCG = 0.802938, loss = 0.666853 [318.94 s]
Iteration 14 [517.6 s]: NDCG = 0.803008, loss = 0.665871 [318.91 s]
Iteration 15 [518.5 s]: NDCG = 0.803176, loss = 0.665611 [318.92 s]
Iteration 16 [519.4 s]: NDCG = 0.803149, loss = 0.665158 [319.28 s]
Iteration 17 [522.2 s]: NDCG = 0.803304, loss = 0.664888 [319.15 s]
Iteration 18 [522.8 s]: NDCG = 0.803341, loss = 0.664744 [318.95 s]
Iteration 19 [522.8 s]: NDCG = 0.803509, loss = 0.664125 [318.99 s]
Iteration 20 [523.3 s]: NDCG = 0.803559, loss = 0.663985 [318.78 s]
Iteration 21 [522.6 s]: NDCG = 0.803597, loss = 0.663527 [318.80 s]
Iteration 22 [523.0 s]: NDCG = 0.803515, loss = 0.663677 [318.78 s]
Iteration 23 [522.7 s]: NDCG = 0.803626, loss = 0.663322 [319.65 s]
Iteration 24 [522.7 s]: NDCG = 0.803470, loss = 0.663305 [318.86 s]
Iteration 25 [525.9 s]: NDCG = 0.803730, loss = 0.662907 [318.89 s]
Iteration 26 [523.2 s]: NDCG = 0.803786, loss = 0.662899 [318.43 s]
Iteration 27 [523.1 s]: NDCG = 0.803600, loss = 0.662532 [318.49 s]
Iteration 28 [523.0 s]: NDCG = 0.803755, loss = 0.662264 [318.46 s]
Iteration 29 [523.8 s]: NDCG = 0.803682, loss = 0.662096 [318.56 s]
Iteration 30 [523.1 s]: NDCG = 0.803546, loss = 0.661983 [318.41 s]
Iteration 31 [523.7 s]: NDCG = 0.803812, loss = 0.662141 [317.35 s]
Iteration 32 [525.8 s]: NDCG = 0.803595, loss = 0.661601 [317.38 s]
Iteration 33 [522.7 s]: NDCG = 0.803507, loss = 0.661830 [317.13 s]
Iteration 34 [522.9 s]: NDCG = 0.803668, loss = 0.661763 [317.06 s]
Iteration 35 [536.0 s]: NDCG = 0.803654, loss = 0.661780 [317.34 s]
Iteration 36 [522.5 s]: NDCG = 0.803588, loss = 0.661617 [317.22 s]
Iteration 37 [526.1 s]: NDCG = 0.803698, loss = 0.661123 [317.13 s]
Iteration 38 [523.0 s]: NDCG = 0.803572, loss = 0.660891 [316.98 s]
Iteration 39 [522.8 s]: NDCG = 0.803509, loss = 0.661206 [317.38 s]
Iteration 40 [522.2 s]: NDCG = 0.803599, loss = 0.660864 [317.24 s]
Iteration 41 [523.9 s]: NDCG = 0.803720, loss = 0.660659 [317.29 s]
Iteration 42 [522.4 s]: NDCG = 0.803634, loss = 0.660563 [316.94 s]
Iteration 43 [524.7 s]: NDCG = 0.803589, loss = 0.660797 [316.72 s]
Iteration 44 [524.7 s]: NDCG = 0.803388, loss = 0.660504 [316.61 s]
Iteration 45 [522.7 s]: NDCG = 0.803371, loss = 0.660733 [316.75 s]
Iteration 46 [524.2 s]: NDCG = 0.803491, loss = 0.660419 [316.59 s]
Iteration 47 [522.3 s]: NDCG = 0.803481, loss = 0.660296 [317.14 s]
Iteration 48 [523.5 s]: NDCG = 0.803672, loss = 0.660293 [325.61 s]
Iteration 49 [529.2 s]: NDCG = 0.803625, loss = 0.659988 [351.39 s]
Iteration 50 [541.7 s]: NDCG = 0.803668, loss = 0.659898 [352.27 s]
Iteration 51 [532.2 s]: NDCG = 0.803412, loss = 0.660103 [337.78 s]
Iteration 52 [532.0 s]: NDCG = 0.803586, loss = 0.659677 [337.52 s]
Iteration 53 [536.5 s]: NDCG = 0.803572, loss = 0.659591 [339.27 s]
Iteration 54 [535.5 s]: NDCG = 0.803589, loss = 0.659650 [343.36 s]
Iteration 55 [554.7 s]: NDCG = 0.803530, loss = 0.659763 [345.14 s]
Iteration 56 [534.1 s]: NDCG = 0.803439, loss = 0.659226 [327.24 s]
Iteration 57 [527.5 s]: NDCG = 0.803267, loss = 0.659494 [320.05 s]
Iteration 58 [542.2 s]: NDCG = 0.803121, loss = 0.659409 [324.13 s]
Iteration 59 [547.1 s]: NDCG = 0.803179, loss = 0.659626 [322.87 s]
Iteration 60 [532.2 s]: NDCG = 0.802990, loss = 0.659081 [319.38 s]
Iteration 61 [525.6 s]: NDCG = 0.803039, loss = 0.659056 [339.23 s]
Iteration 62 [534.5 s]: NDCG = 0.802984, loss = 0.658993 [318.34 s]
Iteration 63 [523.8 s]: NDCG = 0.802891, loss = 0.659160 [317.17 s]
Iteration 64 [522.2 s]: NDCG = 0.802921, loss = 0.658865 [334.57 s]
Iteration 65 [539.1 s]: NDCG = 0.802673, loss = 0.658789 [351.34 s]
Iteration 66 [538.6 s]: NDCG = 0.802612, loss = 0.658524 [343.69 s]
Iteration 67 [536.2 s]: NDCG = 0.802662, loss = 0.658941 [322.00 s]
Iteration 68 [523.7 s]: NDCG = 0.802540, loss = 0.658577 [319.19 s]
Iteration 69 [539.9 s]: NDCG = 0.802901, loss = 0.658457 [318.62 s]
Iteration 70 [524.3 s]: NDCG = 0.802631, loss = 0.658541 [318.51 s]
Iteration 71 [523.9 s]: NDCG = 0.802656, loss = 0.658387 [318.91 s]
Iteration 72 [542.5 s]: NDCG = 0.802649, loss = 0.658482 [353.80 s]
Iteration 73 [544.3 s]: NDCG = 0.802456, loss = 0.657974 [342.19 s]
Iteration 74 [533.2 s]: NDCG = 0.802507, loss = 0.658085 [353.31 s]
Iteration 75 [548.7 s]: NDCG = 0.802672, loss = 0.658473 [347.10 s]
Iteration 76 [542.4 s]: NDCG = 0.802483, loss = 0.658051 [351.97 s]
Iteration 77 [537.5 s]: NDCG = 0.802189, loss = 0.658190 [339.02 s]
Iteration 78 [524.0 s]: NDCG = 0.802260, loss = 0.657777 [323.86 s]
Iteration 79 [536.4 s]: NDCG = 0.802367, loss = 0.657727 [351.03 s]
Iteration 80 [533.1 s]: NDCG = 0.802081, loss = 0.657817 [322.37 s]
Iteration 81 [525.6 s]: NDCG = 0.802067, loss = 0.657479 [318.51 s]
Iteration 82 [524.4 s]: NDCG = 0.802292, loss = 0.658068 [343.43 s]
Iteration 83 [537.3 s]: NDCG = 0.802306, loss = 0.657676 [349.34 s]
Iteration 84 [537.0 s]: NDCG = 0.802125, loss = 0.657536 [352.19 s]
Iteration 85 [542.1 s]: NDCG = 0.801969, loss = 0.657473 [330.34 s]
Iteration 86 [524.6 s]: NDCG = 0.801825, loss = 0.657866 [319.60 s]
Iteration 87 [524.9 s]: NDCG = 0.801883, loss = 0.657173 [319.55 s]
